ProductOrServiceCode,ProductOrServiceCodeText,Simple,IsService,ProductOrServiceArea,ProductServiceOrRnDarea
,,,,,
0000,"NO DESCRIPTION, BLANK CODE",,,,
1000,NO DESCRIPTION,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1005,"GUNS, THROUGH 30 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1010,"GUNS, OVER 30 MM UP TO 75 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1015,"GUNS, 75 MM THROUGH 125 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1020,GUNS OVER 125 MM THROUGH 150 MM,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1025,GUNS OVER 150 MM THROUGH 200 MM,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1030,GUNS OVER 200 MM THROUGH 300 MM,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1035,"GUNS, OVER 300 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1040,CHEMICAL WEAPONS AND EQUIPMENT,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1070,"NETS AND BOOMS, ORDNANCE",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1075,DEGAUSSING & MINE SWEEPING EQUIPMEN,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1095,MISCELLANEOUS WEAPONS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1105,NUCLEAR BOMBS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1110,NUCLEAR PROJECTILES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1115,NUCLEAR WARHEADS & WARHEAD SECTIONS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1120,NUCLEAR DEPTH CHARGES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1125,NUCLEAR DEMOLITION CHARGES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1127,NUCLEAR ROCKETS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1130,"CONVERSION KITS, NUCLEAR ORDNANCE",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1135,"FUZING & FIRING DEVICES, NUCLEAR OR",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1140,NUCLEAR COMPONENTS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1195,MISCELLANEOUS NUCLEAR ORDNANCE,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1210,FIRE CONTROL DIRECTORS,Products,FALSE,Electronics & Communications,Electronics & Communications
1220,FIRE CONT COMPUTING SIGHTS & DEVICE,Products,FALSE,Electronics & Communications,Electronics & Communications
1230,"FIRE CONTROL SYSTEMS, COMPLETE",Products,FALSE,Electronics & Communications,Electronics & Communications
1240,OPTICAL SIGHTING & RANGING EQUIPMEN,Products,FALSE,Electronics & Communications,Electronics & Communications
1250,FIRE CONTROL STABILIZING MECHANISMS,Products,FALSE,Electronics & Communications,Electronics & Communications
1260,FIRE CONT DESIGNATING-INDICATING EQ,Products,FALSE,Electronics & Communications,Electronics & Communications
1265,FIRE CONT EQ EXCEPT AIRBORNE,Products,FALSE,Electronics & Communications,Electronics & Communications
1270,AIRCRAFT GUNNERY FIRE CONT COMPS,Products,FALSE,Electronics & Communications,Electronics & Communications
1280,AIRCRAFT BOMBING FIRE CONT COMPS,Products,FALSE,Electronics & Communications,Electronics & Communications
1285,FIRE CONT RADAR EQ EXCEPT AIRBORNE,Products,FALSE,Electronics & Communications,Electronics & Communications
1287,FIRE CONTROL SONAR EQUIPMENT,Products,FALSE,Electronics & Communications,Electronics & Communications
1290,MISC FIRE CONT EQUIPMENT,Products,FALSE,Electronics & Communications,Electronics & Communications
1305,"AMMUNITION, THROUGH 30 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1310,"AMMUNITION, OVER 30 MM UP TO 75 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1315,"AMMUNITION, 75 MM THROUGH 125 MM.",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1320,"AMMUNITION, OVER 125 MM",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1325,BOMBS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1330,GRENADES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS,Products,FALSE,Missiles & Space,Missiles & Space
1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",Products,FALSE,Missiles & Space,Missiles & Space
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",Products,FALSE,Missiles & Space,Missiles & Space
1340,ROCKETS & ROCKET AMMUNITION,Products,FALSE,Missiles & Space,Missiles & Space
1345,LAND MINES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1346,REMOTE MUNITIONS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1350,"UNDERWATER MINE AND COMPONENTS, INERT",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1351,UNDERWATER MINE EXPLOSIVE COMPS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1352,UNDERWATER MINE DISPOAL INERT DEVICES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1353,UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1355,TORPEDO INERT COMPONENTS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1356,TORPEDO EXPLOSIVE COMPONENTS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1360,DEPTH CHARGE INERT COMPONENTS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1361,DEPTH CHARGE EXPLOSIVE COMPONENTS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1365,MILITARY CHEMICAL AGENTS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1367,"TACTICAL SETS, KITS, AND OUTFITS",Products,FALSE,Launchers & Munitions,Launchers & Munitions
1370,PYROTECHNICS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1375,DEMOLITION MATERIALS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1376,BULK EXPLOSIVES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1377,CARTRIDGE & PROPELLANT DEVICES,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1385,SURFACE EXPLOSIVE ORD DISPOSAL TOOL,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1386,UNDERWATER EXPLOSIVE ORD DISPOSAL,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1390,FUZES AND PRIMERS,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1395,MISCELLANEOUS AMMUNITION,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1398,AMMUNITION HANDLING & SERVICING EQ,Products,FALSE,Launchers & Munitions,Launchers & Munitions
1410,GUIDED MISSILES,Products,FALSE,Missiles & Space,Missiles & Space
1420,GUIDED MISSILE COMPONENTS,Products,FALSE,Missiles & Space,Missiles & Space
1425,"GUIDED MISSILE SYSTEMS, COMPLETE",Products,FALSE,Missiles & Space,Missiles & Space
1427,GUIDED MISSILE SUBSYSTEMS,Products,FALSE,Missiles & Space,Missiles & Space
1430,GUIDED MISSILE REMOTE CONT SYSTEMS,Products,FALSE,Missiles & Space,Missiles & Space
1440,"LAUNCHERS, GUIDED MISSILE",Products,FALSE,Missiles & Space,Missiles & Space
1450,GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT,Products,FALSE,Missiles & Space,Missiles & Space
1510,"AIRCRAFT, FIXED WING",Products,FALSE,Aircraft,Aircraft
1520,"AIRCRAFT, ROTARY WING",Products,FALSE,Aircraft,Aircraft
1540,GLIDERS,Products,FALSE,Aircraft,Aircraft
1550,DRONES,Products,FALSE,Aircraft,Aircraft
1555,Space Vehicles,Products,FALSE,Missiles & Space,Missiles & Space
1560,AIRFRAME STRUCTURAL COMPONENTS,Products,FALSE,Aircraft,Aircraft
1610,AIRCRAFT PROPELLERS AND COMPONENTS,Products,FALSE,Aircraft,Aircraft
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",Products,FALSE,Aircraft,Aircraft
1620,AIRCRAFT LANDING GEAR COMPONENTS,Products,FALSE,Aircraft,Aircraft
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS,Products,FALSE,Aircraft,Aircraft
1640,AIRCRAFT CONTROL CABLE PRODUCTS,Products,FALSE,Aircraft,Aircraft
1650,AIRCRAFT HYDRAULIC VACUUM DE-ICING,Products,FALSE,Aircraft,Aircraft
1660,AIRCRAFT AIR CONDITION HEATING EQ,Products,FALSE,Aircraft,Aircraft
1670,PARACHUTE RECOVER SYS & TIE DOWN EQ,Products,FALSE,Aircraft,Aircraft
1675,Space Vehicle Component,Products,FALSE,Missiles & Space,Missiles & Space
1677,Space Vehicle Remote Control Systems,Products,FALSE,Missiles & Space,Missiles & Space
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,Products,FALSE,Aircraft,Aircraft
1710,AIRCRAFT LANDING EQUIPMENT,Products,FALSE,Aircraft,Aircraft
1720,AIRCRAFT LAUNCHING EQUIPMENT,Products,FALSE,Aircraft,Aircraft
1725,Space Vehicle Launchers,Products,FALSE,Missiles & Space,Missiles & Space
1730,AIRCRAFT GROUND SERVICING EQUIPMENT,Products,FALSE,Aircraft,Aircraft
1735,Space Vehicle Handling and Servicing Equipment,Products,FALSE,Missiles & Space,Missiles & Space
1740,AIRFIELD SPECIAL TRUCKS & TRAILERS,Products,FALSE,Aircraft,Aircraft
1810,SPACE VEHICLES,Products,FALSE,Missiles & Space,Missiles & Space
1820,SPACE VEHICLE COMPONENTS,Products,FALSE,Missiles & Space,Missiles & Space
1830,SPACE VEHICLE REMOTE CONT SYSTEMS,Products,FALSE,Missiles & Space,Missiles & Space
1840,SPACE VEHICLE LAUNCHERS,Products,FALSE,Missiles & Space,Missiles & Space
1850,SPACE VEHICLE HANDLING & SERVICE EQ,Products,FALSE,Missiles & Space,Missiles & Space
1860,SPACE SURVIVAL EQUIPMENT,Products,FALSE,Missiles & Space,Missiles & Space
1900,Frigates and Corvettes,Products,FALSE,Ships,Ships
1901,AIRCRAFT CARRIERS,Products,FALSE,Ships,Ships
1902,CRUISERS,Products,FALSE,Ships,Ships
1903,DESTROYERS,Products,FALSE,Ships,Ships
1904,SUBMARINES,Products,FALSE,Ships,Ships
1905,COMBAT SHIPS AND LANDING VESSELS,Products,FALSE,Ships,Ships
1906,MINELAYERS AND MINESWEEPERS,Products,FALSE,Ships,Ships
1907,LANDING CRAFT,Products,FALSE,Ships,Ships
1908,TORPEDO BOATS AND GUN BOATS,Products,FALSE,Ships,Ships
1909,Hydrofoils,Products,FALSE,Ships,Ships
1910,"TRANSPORT VESSELS, PASSENGER AND TROOP",Products,FALSE,Ships,Ships
1911,AMPHIBIOUS ASSAULT SHIPS,Products,FALSE,Ships,Ships
1915,CARGO AND TANKER VESSELS,Products,FALSE,Ships,Ships
1920,FISHING VESSELS,Products,FALSE,Ships,Ships
1921,TUGS AND TOWBOATS,Products,FALSE,Ships,Ships
1922,Fire Boats,Products,FALSE,Ships,Ships
1923,ICE BREAKERS,Products,FALSE,Ships,Ships
1924,REPAIR SHIPS,Products,FALSE,Ships,Ships
1925,SPECIAL SERVICE VESSELS,Products,FALSE,Ships,Ships
1926,Lightships,Products,FALSE,Ships,Ships
1927,Cable Ships,Products,FALSE,Ships,Ships
1928,SALVAGE VESSELS,Products,FALSE,Ships,Ships
1929,RESCUE VESSELS,Products,FALSE,Ships,Ships
1930,"BARGES AND LIGHTERS, CARGO",Products,FALSE,Ships,Ships
1935,BARGES & LIGHTERS SPECIAL PURPOSE,Products,FALSE,Ships,Ships
1940,SMALL CRAFT,Products,FALSE,Ships,Ships
1945,PONTOONS AND FLOATING DOCKS,Products,FALSE,Ships,Ships
1950,FLOATING DRYDOCKS,Products,FALSE,Ships,Ships
1955,DREDGES,Products,FALSE,Ships,Ships
1990,MISCELLANEOUS VESSELS,Products,FALSE,Ships,Ships
